"fecha","temporalidad","paro"
"2005T1",31.9043402271969,10.1706503402547
"2005T2",33.3479351703014,9.31927831875126
"2005T3",34.4544019129601,8.41068682945638
"2005T4",33.7686337825517,8.70532520053144
"2006T1",33.2440206014768,9.02741739758988
"2006T2",34.3203559762499,8.44339950897733
"2006T3",34.5464444254619,8.08338962080629
"2006T4",33.6920997936946,8.26461448714219
"2007T1",31.8249201418271,8.41917696385829
"2007T2",31.7439234543627,7.93226334155614
"2007T3",31.8357590416669,8.00623406860947
"2007T4",30.8199794148587,8.57012182817246
"2008T1",30.0023129602097,9.60297628018308
"2008T2",29.2716679178213,10.3578732842471
"2008T3",29.3466383000733,11.2306416437392
"2008T4",27.7341053139929,13.7856360280492
"2009T1",25.1785924850681,17.2434233022073
"2009T2",25.0355490609438,17.7711534861792
"2009T3",25.6774710938686,17.7494895606446
"2009T4",24.9412556217466,18.664850346359
"2010T1",24.2311860704346,19.8435183564165
"2010T2",24.7130827402771,19.8890188309634
"2010T3",25.3487602149642,19.5919564087779
"2010T4",24.6577179931157,20.1144495855108
"2011T1",24.560507277156,21.078094117071
"2011T2",25.3209021753265,20.6434120158045
"2011T3",25.8489474670051,21.2839895829358
"2011T4",24.7970626482739,22.5564135912589
"2012T1",23.5215196204238,24.1876102926502
"2012T2",23.4268330185445,24.3982328809637
"2012T3",23.8590350681767,24.7924820177096
"2012T4",22.8149590803891,25.7745245699448
"2013T1",21.9446023821695,26.9354250561092
"2013T2",22.8892388079562,26.0571755383033
"2013T3",24.0538833531709,25.6473044086265
"2013T4",23.6581996102259,25.7278707624795
"2014T1",23.1298445929398,25.927843535071
"2014T2",23.9544679967681,24.4728911336159
"2014T3",24.6446153939539,23.6688723877948
"2014T4",24.2428127435879,23.7016870980727
"2015T1",23.5977028468967,23.7762743681053
"2015T2",25.0925948177955,22.3718764467504
"2015T3",26.1539905099216,21.1830074542571
"2015T4",25.6604476731878,20.8952391450624
"2016T1",25.0429018704071,20.9955951911897
"2016T2",25.7209557285833,19.9980419798327
"2016T3",26.9551071659292,18.9108219822116
"2016T4",26.4726802726859,18.6310513402327
"2017T1",25.7501991375004,18.7501535090204
"2017T2",26.8073432236488,17.2226640465289
"2017T3",27.3788280630621,16.3809323829521
"2017T4",26.7052845404992,16.5458737915235
"2018T1",26.1096026818652,16.7447344944142
"2018T2",26.8001419200232,15.2845545011556
"2018T3",27.4312269494697,14.5531704399953
"2018T4",26.8602421594988,14.4488811271426
"2019T1",25.8820476122406,14.6951621212743
"2019T2",26.3645634316507,14.0245381521665
"2019T3",26.6611856674571,13.9218755219409
"2019T4",26.1059848194297,13.7827804722776
"2020T1",25.0153648439446,14.4077960403535
"2020T2",22.3527654702046,15.3261901810914
"2020T3",24.171509065244,16.2574681171395
"2020T4",24.6327211075095,16.1280418598798
"2021T1",23.7957892549319,15.9835206185529
"2021T2",25.0625745356941,15.2649832448473
"2021T3",26.017948492333,14.5715615291152
"2021T4",25.3823802661962,13.3276261727203
"2022T1",24.2115312954787,13.6491388640336
"2022T2",22.2919505733111,12.4828331149618
"2022T3",20.1827370956234,12.6677283382582
"2022T4",17.9298413817458,12.87467113118
"2023T1",17.2792935000107,13.2641554875786
"2023T2",17.3243667292465,11.5976105918153
