"fecha","Sector Publico","Sector Privado"
"2005T1",23.8730196578755,33.791249069621
"2005T2",25.1558794268563,35.2033840821452
"2005T3",26.7384029940084,36.2104644222716
"2005T4",25.9903827028137,35.4991313945096
"2006T1",25.3621806102213,34.993935719987
"2006T2",26.685511801333,35.974529251759
"2006T3",27.1805502733135,36.1409005800373
"2006T4",26.9426001073987,35.1515337818939
"2007T1",26.269256789664,33.0348622356368
"2007T2",25.4703916457296,33.0531345598326
"2007T3",26.5088736955748,32.9651369643165
"2007T4",25.5151568849336,31.9351666819238
"2008T1",25.7243513001422,30.8891429541531
"2008T2",25.546126407881,30.0625493546706
"2008T3",26.7743887315447,29.910208330912
"2008T4",26.4950820995074,28.0191316094067
"2009T1",24.6727617479111,25.2989291125756
"2009T2",25.6832427749272,24.8785844144665
"2009T3",26.5021797521141,25.4719468675104
"2009T4",24.9600084644099,24.9365995655187
"2010T1",23.9723879383251,24.2975263742856
"2010T2",23.6040180216937,24.9953004361452
"2010T3",24.7287372038282,25.5111249395496
"2010T4",23.9890190524321,24.8343581937516
"2011T1",23.9957514058195,24.7130181061117
"2011T2",24.5890517105503,25.5175286011606
"2011T3",24.6038877245596,26.1871599142477
"2011T4",23.8776034123669,25.0466596686697
"2012T1",22.2412829415083,23.8770984131767
"2012T2",20.9963253948589,24.0860096387664
"2012T3",20.6560481474577,24.7208821414414
"2012T4",19.5625882098167,23.6869933622536
"2013T1",18.9632292786025,22.7420656166759
"2013T2",19.168667961561,23.8739702165312
"2013T3",20.1501763230753,25.0815117907961
"2013T4",19.9285473864394,24.6284334073192
"2014T1",19.8471069194192,24.0007186680033
"2014T2",19.9338616537064,24.9887403893346
"2014T3",20.3423786868154,25.7402793186004
"2014T4",20.6082374075787,25.1636171973257
"2015T1",21.0553033566997,24.2549640614359
"2015T2",21.5672962121783,25.9753618290436
"2015T3",22.031915331737,27.1830537920202
"2015T4",21.9113520841016,26.5988622959277
"2016T1",21.8708880227523,25.8462955024242
"2016T2",22.3228343096814,26.5556755271424
"2016T3",22.8623722489454,27.9465178194591
"2016T4",22.802515905802,27.3565562246523
"2017T1",23.0721804088493,26.3941732163449
"2017T2",23.4498308339682,27.602296622037
"2017T3",24.0931936292039,28.1620991280146
"2017T4",24.0893086321886,27.3313402653322
"2018T1",24.5393686422697,26.4940101056166
"2018T2",24.922890362573,27.245587787367
"2018T3",25.8983818057086,27.7972255259828
"2018T4",26.262675899603,27.0051366112626
"2019T1",26.8479153119986,25.6459012428471
"2019T2",28.2129140362241,25.9269905354977
"2019T3",27.7607391905001,26.3994059978559
"2019T4",27.8259855754936,25.6943161826787
"2020T1",27.4892772296878,24.4117658185324
"2020T2",26.8955928020681,21.1614013242475
"2020T3",27.9153627743344,23.193219885358
"2020T4",29.9348097873881,23.2397945709424
"2021T1",30.4274824052208,22.0226835258679
"2021T2",30.5607594163353,23.615414175168
"2021T3",31.609192579912,24.56772226733
"2021T4",30.9657967291547,23.9448223488928
"2022T1",32.4944580914045,22.0773737193083
"2022T2",32.3576609215851,19.7818230902253
"2022T3",30.6627159824473,17.5386829286188
"2022T4",30.1822142548993,14.8093295655182
"2023T1",31.2569847670675,13.7163095760012
"2023T2",31.1210213131878,13.9389582454929
